"en","da"
"There are more advanced options to modify factor/categorical variables as well as create new factor from a continous variable or new variables with R code. At the bottom you can restore the original data.","Her er mere avancerede muligheder for at ændre faktorielle/kategoriske data, danne nye faktorielle variabler fra kontinuerte eller komplet nye baseret på R-kode. Nederst har du mulighed for at gendanne data."
"Please note that data modifications are applied before any filtering.","Bemærk at alle ændringer i data anvendes inden filtreringen."
"Advanced data manipulation","Avanceret datamanipulation"
"Below options allow more advanced varaible manipulations.","Nedenfor er mulighed for avancerede ændringer i data."
"Reorder factor levels","Arranger niveuer i faktor"
"Reorder the levels of factor/categorical variables.","Arranger rækkefølgen af niveauer i faktorielle/kategoriske variabler."
"New factor","Ny faktor"
"Create factor/categorical variable from a continous variable (number/date/time).","Opret kategorisk variabel på baggrund af kontinuert variabel (numerisk/dato/tid)."
"New variable","Ny variabel"
"Create a new variable based on an R-expression.","Opret ny variabel baseret på R-kode."
"Compare modified data to original","Sammenlign ændret data med det originale datasæt"
"Raw print of the original vs the modified data.","Simpel sammenligning af det originale og det ændrede datasæt."
"Original data:","Original data:"
"Modified data:","Ændret data:"
"New column name:","Navn til ny variabel:"
"Group calculation by:","Grupper udregningen efter:"
"Enter an expression to define new column:","Indtast udregningen til at definere en ny variabel:"
"Click on a column name to add it to the expression:","Tryk på et variabel navn for at tilføje det til udregningen:"
"Create column","Opret variabel"
"Choose a name for the column to be created or modified,","Vælg et navn til den ændrede eller nye variabel,"
"then enter an expression before clicking on the button above to validate or on","indtast herefter udregningen før du trykker på knappen ovenfor for at validere eller på"
"to delete it.","for at slette den."
"New column name cannot be empty","Det nye variabelnavn kan ikke være tomt"
"Create a new column","Opret ny variabel"
"Some operations are not allowed","Nogle beregninger er ikke tilladte"
"Column added!","Variabel oprettet!"
"Unique values:","Unikke værdier:"
"Variable to cut:","Variabel, der skal deles:"
"Number of breaks:","Antal niveauer:"
"Close intervals on the right","Luk intervaller til højre"
"Include lowest value","Inkluderer den laveste værdi"
"Create factor variable","Opret kategorisk variabel"
"Fixed breaks:","Faste niveauer:"
"Method:","Metode:"
"Convert Numeric to Factor","Konverter numerisk til kategorisk"
"Unique:","Unique:"
"Missing:","Manglende:"
"Most Common:","Mest hyppige:"
"Min:","Min:"
"Mean:","Mean:"
"Max:","Max:"
"Decimal separator:","Decimal adskiller:"
"First five rows are shown below:","De første fem rækker vises nedenfor:"
"Imported data","Importeret data"
"www/intro.md","www/intro.md"
"Choose your data","Vælg dine data"
"Upload a file, get data directly from REDCap or use local or sample data.","Upload en fil, hent data direkte fra en REDCap-server eller brug test-data eller lokal data."
"Factor variable to reorder:","Kategoriske variabel der skal ændres:"
"Sort by levels","Sorter efter niveauer"
"Sort by count","Sorter efter antal"
"Create a new variable (otherwise replaces the one selected)","Opret en ny variabel (ellers erstattes den oprindelige)"
"Update factor variable","Updater faktor-variabel"
"Sort count","Sorter antal"
"Levels","Niveauer"
"Count","Antal"
"Update levels of a factor","Updater niveauerne for en faktor"
"Update & select variables","Opdater og vælg variabler"
"Date format:","Datoformat:"
"Date to use as origin to convert date/datetime:","Dato, der skal anvendes som udgangspunkt for konvertering af dato/datotid:"
"Apply changes","Anvend ændringer"
"No data to display.","Ingen data at vise."
"Data successfully updated!","Data er opdateret!"
"You removed {p_out} % of observations.","Du har fjernet {p_out} % af observationerne."
"You removed {p_out} % of variables.","Du har fjernet {p_out} % af variablerne."
"You can import {file_extensions_text} files","Du kan vælge mellem disse filtyper: {file_extensions_text}"
"You can choose between these file types:","Du kan vælge mellem følgene filtyper:"
"Rows to skip before reading data:","Rækker der skal springes over:"
"Missing values character(s):","Tegn for manglende værdier:"
"if several use a comma (',') to separate them","hvis flere, så anvend et komma (',') som seperator"
"Encoding:","Kodning:"
"Upload a file:","Upload en fil:"
"Browse...","Vælg..."
"Select sheet to import:","Vælg ark:"
"No file selected.","Ingen fil valgt."
"Evaluate","Evaluer"
"Visuals","Grafik"
"Regression","Regression"
"Download","Download"
"{data_text} has {n} observations and {n_var} variables, with {n_complete} ({p_complete} %) complete cases.","{data_text} har {n} observationer og {n_var} variabler, med {n_complete} ({p_complete} %) komplette cases."
"Prepare","Forbered"
"At 0, only complete variables are included; at 100, all variables are included.","Ved 0 inkluderes alene komplette variabler; ved 100 inkluderes alle variabler."
"The following variable pairs are highly correlated: {sentence_paste(.x,and_str)}.\nConsider excluding one {more}from the dataset to ensure variables are independent.","De følgende variabel-par er stærkt korrelerede: {sentence_paste(.x,and_str)}.\nOvervej at fjerne en {more}fra datasættet for at sikre at prædiktorer er internt uafhængige."
"No variables have a correlation measure above the threshold.","Ingen variabler er korrelerede over den angivne tærskelværdi."
"and","og"
"from each pair","fra hvert par"
"Only non-text variables are available for plotting. Go the ""Data"" to reclass data to plot.","Kun variabler, der ikke er klassificerede som tekst er tilgængelige. Gå til fanen ""Forbered"" for at ændre klassifikationer."
"Plot","Tegn"
"Adjust settings, then press ""Plot"".","Juster indstillingerne og tryk så ""Tegn""."
"Plot height (mm)","Højde af grafik (mm)"
"Plot width (mm)","Bredde af grafik (mm)"
"File format","File format"
"Download plot","Download grafik"
"Select variable","Vælg variabel"
"Response variable","Svarvariable"
"Plot type","Type af grafik"
"Please select","Vælg"
"Additional variables","Yderligere variabler"
"Secondary variable","Sekundær variabel"
"No variable","Ingen variabel"
"Grouping variable","Variabel til gruppering"
"No stratification","Ingen stratificering"
"Drawing the plot. Hold tight for a moment..","Tegner grafikken. Spænd selen.."
"#Plotting\n","#Tegner\n"
"Stacked horizontal bars","Stablede horisontale søjler"
"A classical way of visualising the distribution of an ordinal scale like the modified Ranking Scale and known as Grotta bars","A classical way of visualising the distribution of an ordinal scale like the modified Ranking Scale and known as Grotta bars"
"Violin plot","Violin plot"
"A modern alternative to the classic boxplot to visualise data distribution","A modern alternative to the classic boxplot to visualise data distribution"
"Sankey plot","Sankey plot"
"A way of visualising change between groups","A way of visualising change between groups"
"Scatter plot","Scatter plot"
"A classic way of showing the association between to variables","A classic way of showing the association between to variables"
"Box plot","Box plot"
"A classic way to plot data distribution by groups","A classic way to plot data distribution by groups"
"Euler diagram","Eulerdiagram"
"Generate area-proportional Euler diagrams to display set relationships","Generate area-proportional Euler diagrams to display set relationships"
"Documentation","Dokumentation"
"Data is only stored for analyses and deleted when the app is closed.","Data is only stored for analyses and deleted when the app is closed."
"Consider [running ***FreesearchR*** locally](https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine) if working with sensitive data.","Consider [running ***FreesearchR*** locally](https://agdamsbo.github.io/FreesearchR/#run-locally-on-your-own-machine) if working with sensitive data."
"Feedback","Feedback"
"License: AGPLv3","Licens: AGPLv3"
"Source","Kilde"
"Data includes {n_pairs} pairs of highly correlated variables.","Der er {n_pairs} variabel-par, der er stærkt internt korrelerede."
"Create plot","Dan grafik"
"Coefficients plot","Koefficientgraf"
"Checks","Checks"
"Below you find a summary table for quick insigths, and on the right you can visualise data classes, browse observations and apply different data filters.","Below you find a summary table for quick insigths, and on the right you can visualise data classes, browse observations and apply different data filters."
"Browse observations","Gennemse observationer"
"Settings","Indstillinger"
"The following error occured on determining correlations:","The following error occured on determining correlations:"
"We encountered the following error creating your report:","We encountered the following error creating your report:"
"No variable chosen for analysis","Ingen variabel er valgt til analysen"
"No missing observations","Ingen manglende observationer"
"Missing vs non-missing observations in the variable **'{variabler()}'**","Manglende vs ikke-manglende observationer i variablen **'{variabler()}'**"
"There is a significant correlation between {n_nonmcar} variables and missing observations in the outcome variable {outcome}.","There is a significant correlation between {n_nonmcar} variables and missing observations in the outcome variable {outcome}."
"There is a total of {p_miss} % missing observations.","Der er i alt {p_miss} % manglende observationer."
