"en","sw"
"There is a significant correlation between {n_nonmcar} variables and missing observations in the outcome variable {outcome}.","There is a significant correlation between {n_nonmcar} variables and missing observations in the outcome variable {outcome}."
"There is a total of {p_miss} % missing observations.","There is a total of {p_miss} % missing observations."
"Median:","Median:"
"Restore original data","Restore original data"
"Reset to original imported dataset. Careful! There is no un-doing.","Reset to original imported dataset. Careful! There is no un-doing."
"Characteristics","Characteristics"
"Only factor/categorical variables are available for stratification. Go back to the 'Prepare' tab to reclass a variable if it's not on the list.","Only factor/categorical variables are available for stratification. Go back to the 'Prepare' tab to reclass a variable if it's not on the list."
"Compare strata?","Compare strata?"
"Correlations","Correlations"
"To avoid evaluating the correlation of the outcome variable, this can be excluded from the plot or select 'none'.","To avoid evaluating the correlation of the outcome variable, this can be excluded from the plot or select 'none'."
"Correlation cut-off","Correlation cut-off"
"Set the cut-off for considered 'highly correlated'.","Set the cut-off for considered 'highly correlated'."
"Missings","Missings"
"Class","Class"
"Observations","Observations"
"Data classes and missing observations","Data classes and missing observations"
"Sure you want to reset data? This cannot be undone.","Sure you want to reset data? This cannot be undone."
"Cancel","Cancel"
"Confirm","Confirm"
"The filtered data","The filtered data"
"Create new factor","Create new factor"
"This window is aimed at advanced users and require some *R*-experience!","This window is aimed at advanced users and require some *R*-experience!"
"Create new variables","Create new variables"
"Select data types to include","Select data types to include"
"Uploaded data overview","Uploaded data overview"
"Here is an overview of how your data is interpreted, and where data is missing. Use this information to consider if data is missing at random or if some observations are missing systematically wich may be caused by an observation bias.","Here is an overview of how your data is interpreted, and where data is missing. Use this information to consider if data is missing at random or if some observations are missing systematically wich may be caused by an observation bias."
"Specify covariables","Specify covariables"
"If none are selected, all are included.","If none are selected, all are included."
"Analyse","Analyse"
"Working...","Working..."
"Press 'Analyse' to create the regression model and after changing parameters.","Press 'Analyse' to create the regression model and after changing parameters."
"Show p-value","Show p-value"
"Model checks","Model checks"
"Please confirm data reset!","Please confirm data reset!"
"Import data from REDCap","Import data from REDCap"
"REDCap server","REDCap server"
"Web address","Web address"
"Format should be either 'https://redcap.your.institution/' or 'https://your.institution/redcap/'","Format should be either 'https://redcap.your.institution/' or 'https://your.institution/redcap/'"
"API token","API token"
"The token is a string of 32 numbers and letters.","The token is a string of 32 numbers and letters."
"Connect","Connect"
"Data import parameters","Data import parameters"
"Select fields/variables to import and click the funnel to apply optional filters","Select fields/variables to import and click the funnel to apply optional filters"
"Import","Import"
"Click to see data dictionary","Click to see data dictionary"
"Connected to server!","Connected to server!"
"The {data_rv$info$project_title} project is loaded.","The {data_rv$info$project_title} project is loaded."
"Data dictionary","Data dictionary"
"Preview:","Preview:"
"Imported data set","Imported data set"
"Select fields/variables to import:","Select fields/variables to import:"
"Specify the data format","Specify the data format"
"Fill missing values?","Fill missing values?"
"Requested data was retrieved!","Requested data was retrieved!"
"Data retrieved, but it looks like only the ID was retrieved from the server. Please check with your REDCap administrator that you have required permissions for data access.","Data retrieved, but it looks like only the ID was retrieved from the server. Please check with your REDCap administrator that you have required permissions for data access."
"Data retrieved, but it looks like not all requested fields were retrieved from the server. Please check with your REDCap administrator that you have required permissions for data access.","Data retrieved, but it looks like not all requested fields were retrieved from the server. Please check with your REDCap administrator that you have required permissions for data access."
"Click to see the imported data","Click to see the imported data"
"Regression table","Regression table"
"Import a dataset from an environment","Import a dataset from an environment"
"Select a dataset:","Select a dataset:"
"List of datasets...","List of datasets..."
"No data selected!","No data selected!"
"No dataset here...","No dataset here..."
"Use a dataset from your environment or from the environment of a package.","Use a dataset from your environment or from the environment of a package."
"Not a data.frame","Not a data.frame"
"Select source","Select source"
"Select a data source:","Select a data source:"
"Yes","Yes"
"No","No"
"Coefficient plot","Coefficient plot"
"Select outcome variable","Select outcome variable"
"Choose regression analysis","Choose regression analysis"
"Covariables to format as categorical","Covariables to format as categorical"
"Select variable to stratify baseline","Select variable to stratify baseline"
"Select models to plot","Select models to plot"
"Creating regression models failed with the following error:","Creating regression models failed with the following error:"
"Creating a regression table failed with the following error:","Creating a regression table failed with the following error:"
"Saving the plot. Hold on for a moment..","Saving the plot. Hold on for a moment.."
"Running model assumptions checks failed with the following error:","Running model assumptions checks failed with the following error:"
"Select checks to plot","Select checks to plot"
"Multivariable regression model checks","Multivariable regression model checks"
"Grouped by {get_label(data,ter)}","Grouped by {get_label(data,ter)}"
"Option to perform statistical comparisons between strata in baseline table.","Option to perform statistical comparisons between strata in baseline table."
"Press 'Evaluate' to create the comparison table.","Press 'Evaluate' to create the comparison table."
"The data includes {n_col} variables. Please limit to 100.","The data includes {n_col} variables. Please limit to 100."
"Data import","Data import"
"Data import formatting","Data import formatting"
"Data modifications","Data modifications"
"Variables filter","Variables filter"
"Data filter","Data filter"
"Data characteristics table","Data characteristics table"
"The dataset without text variables","The dataset without text variables"
"Creating the table. Hold on for a moment..","Creating the table. Hold on for a moment.."
"Select variable to stratify analysis","Select variable to stratify analysis"
"Generating the report. Hold on for a moment..","Generating the report. Hold on for a moment.."
"We encountered the following error showing missingness:","We encountered the following error showing missingness:"
"We encountered the following error browsing your data:","We encountered the following error browsing your data:"
"To consider if data is missing by random, choose the outcome/dependent variable (only variables with any missings are available). If there is a significant difference across other variables depending on missing observations, it may not be missing at random.","To consider if data is missing by random, choose the outcome/dependent variable (only variables with any missings are available). If there is a significant difference across other variables depending on missing observations, it may not be missing at random."
"Choose a name for the column to be created or modified, then enter an expression before clicking on the button below to create the variable, or cancel to exit without saving anything.","Choose a name for the column to be created or modified, then enter an expression before clicking on the button below to create the variable, or cancel to exit without saving anything."
"Other","Other"
"Hour of the day","Hour of the day"
"Breaks","Breaks"
"By day of the week","By day of the week"
"By weekday","By weekday"
"By week number and year","By week number and year"
"By week number","By week number"
"By month and year","By month and year"
"By month only","By month only"
"By quarter of the year","By quarter of the year"
"By year","By year"
"Keep only most common","Keep only most common"
"Number","Number"
"Combine below percentage","Combine below percentage"
"Percentage","Percentage"
"By specified numbers","By specified numbers"
"By quantiles (groups of equal size)","By quantiles (groups of equal size)"
"Please fill in web address and API token, then press 'Connect'.","Please fill in web address and API token, then press 'Connect'."
"There are more advanced options to modify factor/categorical variables as well as create new factor from an existing variable or new variables with R code. At the bottom you can restore the original data.","There are more advanced options to modify factor/categorical variables as well as create new factor from an existing variable or new variables with R code. At the bottom you can restore the original data."
"Text or character to split string by","Text or character to split string by"
"Split the variable","Split the variable"
"Save new data","Save new data"
"Variable to split:","Variable to split:"
"Direction:","Direction:"
"Split string to multiple columns. Keep number of rows.","Split string to multiple columns. Keep number of rows."
"Split string to multiple observations (rows) in the same column. Also ads id and instance columns","Split string to multiple observations (rows) in the same column. Also ads id and instance columns"
"Split character string","Split character string"
"Split text","Split text"
"Split a character string by a common delimiter","Split a character string by a common delimiter"
"Select delimiter","Select delimiter"
"Browse data preview","Browse data preview"
"Original data","Original data"
"Preview of result","Preview of result"
"No character variables with accepted delimiters detected.","No character variables with accepted delimiters detected."
"Split a text column by a recognised delimiter.","Split a text column by a recognised delimiter."
